"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","CMD_3mon","CMD_6mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_peduncle1_3","root_shape1_6","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0197_23",1,23,2,16,"test"," (Operator: lizbethpino, Time: )","VF21-0197","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,150,1.5625,1,4,NA,10,2,175,8,NA,8,10,15.21917251,NA,NA,NA,8,100,1.5625,0.23779957046875
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0200_37",1,37,2,2,"test"," (Operator: lizbethpino, Time: )","VF21-0200","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,1,NA,175,3.125,2,5,NA,10,1,290,8,NA,6,10,NA,NA,NA,NA,8,100,3.125,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0202_72",1,72,4,5,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","VF21-0202","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,3,1,NA,195,NA,NA,5,NA,10,1,250,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0016_29",1,29,2,10,"test"," (Operator: lizbethpino, Time: )","VH21-0016","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,180,4.6875,3,5,NA,10,1,225,8,NA,8,9,18.31962406,NA,NA,NA,8,90,4.6875,0.8587323778125
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0019_21",1,21,2,18,"test"," (Operator: lizbethpino, Time: )","VH21-0019","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,160,NA,NA,4,NA,10,1,190,8,NA,8,9,NA,NA,NA,NA,8,90,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0041_45",1,45,3,7,"test"," (Operator: lizbethpino, Time: )","VH21-0041","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,180,4.6875,3,3,NA,10,2,250,7,NA,4,9,10.81865248,NA,NA,NA,8,90,4.6875,0.507124335
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0061_43",1,43,3,5,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","VH21-0061","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,310,NA,NA,5,NA,10,1,310,0,NA,6,8,NA,NA,NA,NA,8,80,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0072_44",1,44,3,6,"test"," (Operator: lizbethpino, Time: )","VH21-0072","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,160,NA,NA,5,NA,10,4,275,6,NA,7,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0095_13",1,13,1,13,"test"," (Operator: lizbethpino, Time: )","VH21-0095","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,255,0.78125,0.5,5,NA,10,2,300,0,NA,5,10,39.462,NA,NA,NA,8,100,0.78125,0.308296875
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0097_46",1,46,3,8,"test"," (Operator: lizbethpino, Time: )","VH21-0097","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,180,7.8125,5,5,NA,10,2,275,8,NA,8,10,21.83075342,NA,NA,NA,8,100,7.8125,1.7055276109375
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0127_20",1,20,2,19,"test","not clearly CMD (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","VH21-0127","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,2,NA,230,NA,NA,5,NA,10,2,275,8,NA,8,10,19.96850953,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0172_64",1,64,4,13,"test"," (Operator: lizbethpino, Time: )","VH21-0172","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,130,NA,NA,5,NA,10,1,130,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0201_31",1,31,2,8,"test"," (Operator: lizbethpino, Time: )","VH21-0201","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,155,2.34375,1.5,5,NA,10,2,225,7,NA,7,10,NA,NA,NA,NA,8,100,2.34375,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0203_22",1,22,2,17,"test"," (Operator: lizbethpino, Time: )","VH21-0203","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,100,NA,NA,3,NA,10,1,100,8,NA,7,10,28.96970149,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0371_19",1,19,1,19,"test"," (Operator: lizbethpino, Time: ), shooting little (Operator: lizbethpino, Time: )","VH21-0371","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,200,NA,NA,3,NA,10,1,200,7,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0402_58",1,58,4,19,"test"," (Operator: lizbethpino, Time: ), potential (Operator: lizbethpino, Time: )","VH21-0402","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,225,NA,NA,5,NA,10,1,225,6,NA,7,10,22.89287671,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0421_74",1,74,4,3,"test"," (Operator: lizbethpino, Time: )","VH21-0421","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,2,NA,145,NA,NA,5,NA,10,1,145,7,NA,8,9,NA,NA,NA,NA,8,90,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0427_76",1,76,4,1,"test"," (Operator: lizbethpino, Time: )","VH21-0427","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,2,1,NA,225,9.375,6,3,NA,10,1,225,8,NA,2,9,NA,NA,NA,NA,8,90,9.375,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VH21-0439_28",1,28,2,11,"test"," (Operator: lizbethpino, Time: )","VH21-0439","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,160,NA,NA,5,NA,10,2,180,8,NA,7,10,NA,NA,NA,NA,8,100,NA,NA
